2016/01/25 08:45:32 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 5 ramp-up 1 perThread 200.0 delayedStart=false 
2016/01/25 08:45:32 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2016/01/25 08:45:32 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2016/01/25 08:45:32 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2016/01/25 08:45:32 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2016/01/25 08:45:32 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2016/01/25 08:45:33 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2016/01/25 08:45:33 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2016/01/25 08:45:50 INFO  - jmeter.protocol.http.proxy.Proxy: [4513] KeyStore for SSL loaded OK and put host 'safebrowsing.google.com' in map with key (safebrowsing.google.com) 
2016/01/25 08:45:50 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4423] Creating entry pl1-sst.sensic.net in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:45:51 WARN  - jmeter.protocol.http.proxy.Proxy: [4513] Problem with SSL certificate for 'safebrowsing.google.com'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:46:22 INFO  - jmeter.protocol.http.proxy.ProxyControl: [4213] Creating entry 6-edge-chat.facebook.com in C:\Users\Pinka\Downloads\apache-jmeter-2.13\apache-jmeter-2.13\apache-jmeter-2.13\bin\proxyserver.jks 
2016/01/25 08:46:22 INFO  - jmeter.protocol.http.proxy.Proxy: [4423] KeyStore for SSL loaded OK and put host 'pl1-sst.sensic.net' in map with key (pl1-sst.sensic.net) 
2016/01/25 08:46:22 WARN  - jmeter.protocol.http.proxy.Proxy: [4423] Problem with SSL certificate for 'pl1-sst.sensic.net'? Ensure browser is set to accept the JMeter proxy cert: Software caused connection abort: recv failed 
2016/01/25 08:46:53 INFO  - jmeter.protocol.http.proxy.Proxy: [4213] KeyStore for SSL loaded OK and put host '6-edge-chat.facebook.com' in map with key (6-edge-chat.facebook.com) 
